,ts_code,symbol,name,area,industry,abbreviation,list_date
4416,688007.SH,688007,光峰科技,深圳,元器件,gfkj,20190722
4417,688008.SH,688008,澜起科技,上海,半导体,lqkj,20190722
4418,688009.SH,688009,中国通号,北京,运输设备,zgth,20190722
4419,688010.SH,688010,福光股份,福建,元器件,fggf,20190722
4420,688011.SH,688011,新光光电,黑龙江,元器件,xggd,20190722
4421,688012.SH,688012,中微公司,上海,半导体,zwgs,20190722
4422,688013.SH,688013,天臣医疗,江苏,医疗保健,tcyl,20200928
4423,688015.SH,688015,交控科技,北京,运输设备,jkkj,20190722
4424,688016.SH,688016,心脉医疗,上海,医疗保健,xmyl,20190722
4425,688017.SH,688017,绿的谐波,江苏,机械基件,ldxb,20200828
4426,688018.SH,688018,乐鑫科技,上海,半导体,lxkj,20190722
4427,688019.SH,688019,安集科技,上海,半导体,ajkj,20190722
4428,688020.SH,688020,方邦股份,广东,元器件,fbgf,20190722
4429,688021.SH,688021,奥福环保,山东,环境保护,afhb,20191106
4430,688022.SH,688022,瀚川智能,江苏,专用机械,hczn,20190722
4431,688023.SH,688023,安恒信息,浙江,软件服务,ahxx,20191105
4432,688025.SH,688025,杰普特,深圳,专用机械,jpt,20191031
4433,688026.SH,688026,洁特生物,广东,塑料,jtsw,20200122
4434,688027.SH,688027,国盾量子,安徽,通信设备,gdlz,20200709
4435,688028.SH,688028,沃尔德,北京,机械基件,wed,20190722
4436,688029.SH,688029,南微医学,江苏,医疗保健,nwyx,20190722
4437,688030.SH,688030,山石网科,江苏,软件服务,sswk,20190930
4438,688031.SH,688031,星环科技-U,上海,软件服务,xhkj,20221018
4439,688032.SH,688032,禾迈股份,浙江,电气设备,hmgf,20211220
4440,688033.SH,688033,天宜上佳,北京,运输设备,tysj,20190722
4441,688035.SH,688035,德邦科技,山东,半导体,dbkj,20220919
4442,688036.SH,688036,传音控股,深圳,通信设备,cykg,20190930
4443,688037.SH,688037,芯源微,辽宁,半导体,xyw,20191216
4444,688038.SH,688038,中科通达,湖北,软件服务,zktd,20210713
4445,688039.SH,688039,当虹科技,浙江,软件服务,dhkj,20191211
4446,688041.SH,688041,海光信息,天津,半导体,hgxx,20220812
4447,688045.SH,688045,必易微,深圳,半导体,byw,20220526
4448,688046.SH,688046,药康生物,江苏,生物制药,yksw,20220425
