代码,名称,最新价,涨跌幅,换手率,成交额,涨速,市盈率,总市值,流通市值,今年,60日,成交量,最高,最低,今开,昨收
688138,清溢光电,21.66,3.98,0.35,19612098.0,3.29,60.2,5778888000.0,5778888000.0,19.01,12.93,9290.0,21.67,20.7,21.16,20.83
300225,金力泰,7.28,0.41,4.22,142315933.0,3.12,-31.56,3561414584.0,3448867917.0,40.0,30.23,199692.0,7.28,6.97,7.2,7.25
002178,延华智能,5.15,6.4,2.66,94764620.24,3.21,-315.84,3667587955.0,3664350485.0,20.05,4.89,188970.0,5.18,4.85,4.87,4.84
688555,*ST泽达,6.37,-5.77,5.29,13741429.0,3.75,-5.4,529410700.0,266533540.0,65.45,43.79,22126.0,6.5,6.03,6.5,6.76
300912,凯龙高科,26.9,6.03,4.89,78937713.27,3.07,-29.11,3094091800.0,1656849683.0,99.11,74.34,30144.0,26.95,25.59,26.4,25.37
301198,喜悦智行,28.48,2.15,0.62,10424593.18,3.15,51.1,3702400000.0,1705325440.0,17.49,19.31,3719.0,28.58,27.55,28.15,27.88
300293,蓝英装备,11.21,4.57,1.07,32897565.0,3.03,-584.82,3793891168.0,3142565630.0,31.26,21.45,30115.0,11.22,10.79,10.9,10.72
600800,渤海化学,4.18,8.01,1.01,32627279.0,3.47,-129.63,4956592084.0,3320330169.0,15.15,7.18,80414.0,4.2,3.93,3.94,3.87
688506,百利天恒-U,79.64,2.79,1.78,44992232.0,3.24,-111.64,31935640000.0,2633161053.0,222.43,222.43,5895.0,79.79,74.28,74.28,77.48
833575,N康乐,37.0,-11.9,2.79,67668137.28,4.08,-17.77,5202200000.0,2512867580.0,-36.17,-36.17,18978.0,37.0,35.0,35.94,42.0
002345,潮宏基,6.82,1.49,0.59,34602158.0,3.18,19.36,6059656662.0,5918596269.0,29.66,43.58,51411.0,6.85,6.58,6.79,6.72
603196,日播时尚,8.72,2.47,0.16,3210609.0,3.2,54.99,2089682705.0,2074028561.0,15.65,5.7,3754.0,8.73,8.44,8.51,8.51
001255,博菲电气,50.15,3.21,0.93,9158562.0,3.15,53.82,4012000000.0,1003000000.0,49.84,32.29,1864.0,50.2,48.31,48.55,48.59
001236,弘业期货,16.26,6.48,4.45,70832420.24,3.17,426.19,16386466670.0,1638646670.0,20.27,8.62,44800.0,16.28,15.42,15.42,15.27
003001,中岩大地,20.75,-0.38,14.93,149589400.05,3.75,-44.4,2650827565.0,1023677242.0,40.2,33.01,73651.0,20.88,19.79,20.84,20.83
000670,盈方微,8.89,4.71,2.4,125775355.1,3.49,1018.11,7259817230.0,5421540826.0,26.64,16.06,146427.0,8.9,8.39,8.42,8.49
002796,世嘉科技,13.63,1.56,6.96,220417698.63,3.02,-107.68,3440579301.0,3159921722.0,57.21,38.66,161422.0,14.06,13.21,13.61,13.42
688551,科威尔,63.79,7.57,0.24,7996083.0,3.1,82.77,5122541766.0,3390469311.0,30.72,23.43,1291.0,63.8,59.3,59.65,59.3
688197,首药控股-U,46.15,7.08,0.65,10442461.0,3.15,-39.49,6863397679.0,1669628545.0,90.07,75.61,2336.0,46.19,43.05,44.56,43.1
